,Year of Production,Case Material,Brace Material,Sex,Condition
0,2022 ,Steel,Steel,Men's watch/Unisex,New
1,2018 ,Steel,Rubber,Men's watch/Unisex,Unworn
2,2016 ,Steel,Rubber,Men's watch/Unisex,Very good
3,2019,Titanium,Rubber,Men's watch/Unisex,Very good
4,2023,Steel,Steel,Men's watch/Unisex,Unworn
5,2023,White gold,White gold,Women's watch,Unworn
6,2023,Steel,Steel,Women's watch,Unworn
7,2023,Steel,Steel,Women's watch,Unworn
8,2023,Ceramic,Ceramic,Men's watch/Unisex,Unworn
9,2022,Steel,Steel,Men's watch/Unisex,Unworn
10,2022,Steel,Steel,Men's watch/Unisex,Unworn
11,2022,Steel,Steel,Men's watch/Unisex,Unworn
12,2022,Steel,Steel,Men's watch/Unisex,Unworn
13,2022,Steel,Steel,Men's watch/Unisex,New
14,2022,Ceramic,Ceramic,Women's watch,Unworn
15,2022,Steel,Steel,Men's watch/Unisex,Unworn
16,2023,Steel,Rubber,Women's watch,Unworn
17,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
18,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
19,2022,Steel,Steel,Women's watch,Unworn
20,2023,White gold,White gold,Men's watch/Unisex,Unworn
21,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
22,2022,Steel,Steel,Men's watch/Unisex,Unworn
23,2022,Steel,Steel,Men's watch/Unisex,Unworn
24,2022,Rose gold,Rose gold,Men's watch/Unisex,Unworn
25,2022,Rose gold,Crocodile skin,Men's watch/Unisex,Unworn
26,2022,Ceramic,Ceramic,Men's watch/Unisex,Unworn
27,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
28,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
29,2023,Yellow gold,Yellow gold,Women's watch,Unworn
30,2023,Rose gold,Rose gold,Men's watch/Unisex,Unworn
31,2023,Yellow gold,Yellow gold,Men's watch/Unisex,Unworn
32,2023,Titanium,Titanium,Men's watch/Unisex,Unworn
33,2023,White gold,White gold,Women's watch,Unworn
34,2023,White gold,White gold,Men's watch/Unisex,Unworn
35,2023,White gold,White gold,Men's watch/Unisex,Unworn
36,2023,Titanium,Rubber,Men's watch/Unisex,Unworn
37,2022,Rose gold,Rose gold,Men's watch/Unisex,Unworn
38,2023,Rose gold,Rubber,Men's watch/Unisex,Unworn
39,2023,Ceramic,Calf skin,Men's watch/Unisex,Unworn
