,Price,Year of Production,Case Material,Brace Material,Condition
0,"$108,000",2022 ,Steel,Steel,New
1,"$41,000",2018 ,Steel,Rubber,Unworn
2,"$43,500",2016 ,Steel,Rubber,Very good
3,"$37,800",2019,Titanium,Rubber,Very good
4,Price on request,2023,Steel,Steel,Unworn
5,Price on request,2023,White gold,White gold,Unworn
6,Price on request,2023,Steel,Steel,Unworn
7,Price on request,2023,Steel,Steel,Unworn
8,Price on request,2023,Ceramic,Ceramic,Unworn
9,Price on request,2022,Steel,Steel,Unworn
10,Price on request,2022,Steel,Steel,Unworn
11,Price on request,2022,Steel,Steel,Unworn
12,Price on request,2022,Steel,Steel,Unworn
13,Price on request,2022,Steel,Steel,New
14,Price on request,2022,Ceramic,Ceramic,Unworn
15,Price on request,2022,Steel,Steel,Unworn
16,Price on request,2023,Steel,Rubber,Unworn
17,Price on request,2023,Rose gold,Rose gold,Unworn
18,Price on request,2023,Rose gold,Rose gold,Unworn
19,Price on request,2022,Steel,Steel,Unworn
20,Price on request,2023,White gold,White gold,Unworn
21,Price on request,2023,Rose gold,Rose gold,Unworn
22,Price on request,2022,Steel,Steel,Unworn
23,Price on request,2022,Steel,Steel,Unworn
24,Price on request,2022,Rose gold,Rose gold,Unworn
25,Price on request,2022,Rose gold,Crocodile skin,Unworn
26,Price on request,2022,Ceramic,Ceramic,Unworn
27,Price on request,2023,Rose gold,Rose gold,Unworn
28,Price on request,2023,Rose gold,Rose gold,Unworn
29,Price on request,2023,Yellow gold,Yellow gold,Unworn
30,Price on request,2023,Rose gold,Rose gold,Unworn
31,Price on request,2023,Yellow gold,Yellow gold,Unworn
32,Price on request,2023,Titanium,Titanium,Unworn
33,Price on request,2023,White gold,White gold,Unworn
34,Price on request,2023,White gold,White gold,Unworn
35,Price on request,2023,White gold,White gold,Unworn
36,Price on request,2023,Titanium,Rubber,Unworn
37,Price on request,2022,Rose gold,Rose gold,Unworn
38,Price on request,2023,Rose gold,Rubber,Unworn
39,Price on request,2023,Ceramic,Calf skin,Unworn
40,Price on request,2023,White gold,Crocodile skin,Unworn
41,Price on request,2022,Steel,Steel,Unworn
42,Price on request,2023,Rose gold,Rubber,Unworn
43,Price on request,2023,Steel,Rubber,Unworn
44,Price on request,2023,White gold,White gold,Unworn
45,Price on request,2021,Ceramic,Ceramic,Unworn
46,Price on request,2022,Steel,Steel,Unworn
47,Price on request,2022,Rose gold,Rose gold,Unworn
48,Price on request,2023,Steel,Steel,Unworn
49,Price on request,2022,Yellow gold,Yellow gold,Unworn
50,Price on request,2022,Steel,Steel,Unworn
51,Price on request,2023,Steel,Steel,Unworn
52,Price on request,2022,White gold,Rubber,Unworn
53,Price on request,2023,Titanium,Rubber,Unworn
54,Price on request,2022,Ceramic,Rubber,Unworn
55,Price on request,2022,Titanium,Rubber,Unworn
56,Price on request,2022,Titanium,Rubber,Unworn
57,Price on request,2022,Rose gold,Rose gold,Unworn
58,Price on request,2022,Rose gold,Crocodile skin,Unworn
59,Price on request,2022,Steel,Steel,Unworn
60,Price on request,2022,Yellow gold,Yellow gold,Unworn
61,Price on request,2022,Rose gold,Rose gold,Unworn
62,Price on request,2023,Ceramic,Ceramic,Unworn
63,Price on request,2023,Steel,Steel,Unworn
64,Price on request,2022,Rose gold,Rose gold,Unworn
65,Price on request,2022,Steel,Steel,Unworn
66,Price on request,2022,Steel,Steel,Unworn
67,Price on request,2023,Rose gold,Rose gold,Unworn
68,Price on request,2023,White gold,White gold,Unworn
69,Price on request,2023,White gold,White gold,Unworn
70,Price on request,2023,Ceramic,Ceramic,Unworn
71,Price on request,2023,Rose gold,Rose gold,Unworn
72,Price on request,2022,Steel,Steel,Unworn
73,Price on request,2022,Rose gold,Rose gold,Unworn
74,Price on request,2022,Rose gold,Crocodile skin,Unworn
75,Price on request,2022,Steel,Steel,Unworn
76,Price on request,2022,Rose gold,Rose gold,Unworn
77,Price on request,2022,Rose gold,Rose gold,Unworn
78,Price on request,2022,Steel,Steel,Unworn
79,Price on request,2022,Rose gold,Crocodile skin,Unworn
80,Price on request,2022,Rose gold,Rose gold,Unworn
81,Price on request,2021,Rose gold,Rose gold,Unworn
82,Price on request,2022,Steel,Gold/Steel,Unworn
83,Price on request,2021,White gold,Crocodile skin,Unworn
84,Price on request,2022,Titanium,Rubber,Unworn
85,Price on request,2021,Gold/Steel,Gold/Steel,Unworn
86,"$40,054",2006,Steel,Steel,Very good
87,Price on request,2022,Ceramic,Rubber,Unworn
88,Price on request,2022,Rose gold,Rose gold,Unworn
